price_usd,brand,model_family,condition_score,release_year,cpu_brand,cpu_family,cpu_generation,cpu_suffix,processor_speed_ghz,gpu_vendor,gpu,ram_gb,storage_type,ssd_gb,hdd_gb,storage_capacity_gb,has_dual_storage,screen_size_inch,resolution_width,resolution_height,os,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_webcam,has_wifi
303.68,chuwi,other,6,2021,other,other,unknown,unknown,3.8,intel,Intel Iris Plus Graphics 655,8,ssd,1024,0,1024,0,14,2160,1440,windows,0,1,0,1,0
517.49,dell,latitude,4,-1,intel,core_i7,intel_8,unknown,4.2,intel,Intel UHD Graphics 620,-1,ssd,2048,0,2048,0,14,1920,1080,windows,0,1,1,1,1
175,dell,latitude,3,2019,intel,core_i5,intel_6,U,2.4,intel,Intel HD Graphics,16,ssd,512,0,512,0,14,1920,1080,windows,1,1,1,1,1
84.99,hp,chromebook,4,-1,intel,celeron,unknown,unknown,2.4,intel,Intel HD Graphics 500,4,emmc,0,0,16,0,11.6,1366,768,chrome_os,0,0,1,1,1
101.22,dell,other,4,2015,intel,core_i5,intel_6,unknown,1.4,unknown,Integrated Graphics,8,ssd,256,0,256,0,12.5,1366,768,windows,0,0,0,1,1
49.99,acer,chromebook,2,2017,intel,celeron,unknown,unknown,1.6,unknown,Unknown,4,ssd,16,0,16,0,11.6,1366,768,chrome_os,1,0,1,0,0
39.59,hp,chromebook,2,2017,intel,celeron,unknown,unknown,1.6,unknown,Unknown,4,ssd,16,0,16,0,11.6,-1,-1,chrome_os,0,0,1,1,0
34.99,acer,chromebook,2,-1,intel,celeron,unknown,unknown,4,unknown,Unknown,2,hdd,0,16,16,0,11.6,-1,-1,chrome_os,0,0,0,0,0
279.99,dell,latitude,4,-1,intel,core_i7,unknown,unknown,2.8,unknown,Unknown,16,ssd,512,0,512,0,14,1920,1080,other,0,0,0,0,1
125,hp,chromebook,2,2020,intel,core_i3,intel_10,unknown,2.1,intel,Intel UHD Graphics,8,emmc,0,0,64,0,14,1920,1080,chrome_os,1,1,1,1,1
138,lenovo,thinkpad,3,-1,intel,core_i5,intel_8,U,1.7,intel,Intel UHD Graphics 620,16,ssd,128,0,128,0,14,1920,1080,windows,0,0,0,1,0
69.99,acer,chromebook,2,2020,intel,celeron,unknown,unknown,1.1,intel,Intel UHD Graphics 600,4,emmc,0,0,32,0,11.6,1366,768,chrome_os,0,0,1,0,0
151.99,chuwi,other,6,2021,intel,celeron,unknown,unknown,2.8,intel,Intel UHD Graphics 600,8,ssd,256,0,256,0,14.1,1920,1080,windows,0,0,0,0,1
243.99,chuwi,other,6,2021,intel,core_i5,intel_8,U,3.8,intel,Intel Iris Plus Graphics 655,8,hybrid,512,512,1024,1,14,2160,1440,windows,0,1,1,0,1
169.99,dell,latitude,3,-1,intel,core_i5,intel_7,unknown,-1,unknown,Unknown,8,ssd,128,0,128,0,-1,1920,1080,windows,1,1,1,1,1
218,dell,latitude,3,-1,intel,core_i5,intel_8,unknown,1.6,intel,Intel HD Graphics 620,16,ssd,512,0,512,0,15.6,1920,1080,unknown,1,1,1,1,1
129.99,dell,latitude,3,2019,intel,celeron,unknown,unknown,1.1,intel,Intel UHD Graphics 600,4,ssd,128,0,128,0,11,1366,768,windows,1,0,1,1,0
39.99,acer,chromebook,3,2018,intel,celeron,unknown,unknown,1.6,intel,Intel HD Graphics,4,ssd,16,0,16,0,11.6,1366,768,chrome_os,0,0,1,1,1
503.39,dell,latitude,4,-1,intel,core_i7,intel_8,unknown,4.2,intel,Intel UHD Graphics 620,-1,ssd,2048,0,2048,0,14,1920,1080,windows,0,1,1,1,1
625,dell,other,5,2023,intel,core_i7,intel_13,unknown,4.4,unknown,Unknown,32,ssd,1024,0,1024,0,16,2560,1600,windows,0,1,1,1,1
315,dell,inspiron,2,-1,amd,ryzen_5,unknown,unknown,2.3,amd,AMD Radeon Graphics,16,ssd,512,0,512,0,14,1920,1080,windows,0,0,0,0,0
199.99,dell,latitude,3,2013,intel,core_i5,intel_6,unknown,2.6,intel,Intel HD Graphics,8,ssd,256,0,256,0,12.5,1920,1080,windows,0,0,1,1,0
299.99,hp,elite_x2,6,2019,intel,core_i5,intel_8,U,1.6,intel,Intel UHD Graphics 620,16,ssd,512,0,512,0,13,3000,2000,other,1,1,1,1,0
44.99,lenovo,other,2,-1,intel,celeron,unknown,unknown,1.1,intel,Intel HD Graphics 500,-1,emmc,0,0,16,0,11.6,1366,768,chrome_os,1,0,1,1,1
534,hp,other,6,2023,intel,core_i5,intel_11,G7,4.2,intel,Intel Iris Xe Graphics,32,ssd,2048,0,2048,0,15.6,1920,1080,windows,0,0,1,1,1
344.99,dell,latitude,4,-1,intel,core_i5,intel_7,unknown,3.1,intel,Intel HD Graphics 620,16,ssd,512,0,512,0,15.6,1920,1080,windows,0,1,1,1,1
241.99,chuwi,other,6,2023,other,other,unknown,unknown,3.4,intel,Intel UHD Graphics,16,ssd,512,0,512,0,15.6,1920,1080,windows,0,0,1,1,1
537,hp,elitebook,4,-1,intel,core_i7,intel_8,unknown,4.2,intel,Intel UHD Graphics 620,-1,ssd,2048,0,2048,0,14,1920,1080,windows,0,0,1,1,1
79.49,lenovo,yoga,3,-1,intel,celeron,unknown,unknown,1.6,unknown,Unknown,-1,ssd,128,0,128,0,11.6,1366,768,windows,1,0,1,1,1
209,hp,probook,4,-1,intel,core_i5,intel_7,U,2.5,intel,Intel HD Graphics,16,ssd,512,0,512,0,15.6,-1,-1,windows,0,0,1,1,1
149.99,chuwi,other,6,-1,intel,celeron,unknown,unknown,2.8,intel,Intel UHD Graphics 600,8,ssd,256,0,256,0,14.1,1920,1080,windows,0,1,1,1,1
799,lenovo,legion,2,2022,intel,core_i7,intel_12,unknown,3.5,nvidia,NVIDIA GeForce RTX 3050 Ti,16,ssd,512,0,512,0,16,2560,1600,windows,0,0,1,0,1
99.99,lenovo,thinkpad,3,-1,intel,core_i5,intel_4,U,1.9,intel,Intel HD Graphics,8,ssd,256,0,256,0,14,-1,-1,unknown,1,0,0,0,0
218.99,dell,latitude,3,-1,intel,core_i7,intel_7,HQ,3.9,unknown,Unknown,16,ssd,512,0,512,0,15.6,1920,1080,windows,0,1,0,1,0
152.5,dell,latitude,3,2014,intel,core_i5,intel_4,U,1.6,intel,Intel HD Graphics 4400,8,ssd,256,0,256,0,14,1366,768,windows,0,0,1,1,1
269.49,chuwi,other,6,2022,intel,celeron,unknown,unknown,2.8,intel,Intel UHD Graphics,12,ssd,512,0,512,0,13.5,2256,1504,windows,0,0,1,1,0
130,lenovo,thinkpad,3,-1,intel,core_i5,intel_8,U,-1,unknown,Unknown,16,ssd,256,0,256,0,14,-1,-1,unknown,1,0,0,1,0
489,dell,inspiron,6,2023,amd,ryzen_5,unknown,unknown,4.5,amd,AMD Radeon Graphics,16,ssd,512,0,512,0,15.6,1920,1080,windows,0,0,1,0,1
119.99,dell,latitude,3,2019,intel,core_i5,intel_6,unknown,2.4,unknown,Unknown,8,ssd,-1,0,-1,-1,14,1920,1080,unknown,1,0,1,1,1
550,lg,gram,3,-1,intel,core_i7,intel_13,unknown,-1,unknown,Unknown,16,ssd,512,0,512,0,17.3,-1,-1,windows,0,0,0,0,0
29.99,hp,other,3,-1,intel,celeron,unknown,unknown,2.16,unknown,Unknown,16,ssd,16,0,16,0,14,1366,768,chrome_os,0,0,0,0,1
145,hp,probook,4,-1,intel,core_i3,intel_6,unknown,2.3,intel,Intel HD Graphics,8,ssd,512,0,512,0,15.6,-1,-1,windows,0,0,1,1,1
159.99,dell,latitude,3,-1,intel,core_i5,unknown,unknown,2.3,unknown,Unknown,8,ssd,256,0,256,0,15.6,-1,-1,windows,0,0,0,0,0
84.99,hp,chromebook,4,2019,intel,celeron,unknown,unknown,-1,intel,Intel HD Graphics 500,4,emmc,0,0,16,0,11.6,1366,768,chrome_os,0,0,1,1,1
69.99,hp,chromebook,3,-1,intel,celeron,unknown,unknown,1.6,intel,Intel HD Graphics,4,emmc,0,0,16,0,11.6,1366,768,chrome_os,1,0,1,1,1
49,hp,chromebook,3,-1,amd,amd_a_series,unknown,unknown,1.6,unknown,Unknown,4,emmc,0,0,16,0,11.6,1366,768,chrome_os,0,0,1,1,1
129.95,dell,latitude,3,2017,intel,core_i7,intel_6,unknown,2.6,intel,Intel HD Graphics 520,8,ssd,256,0,256,0,12.5,1920,1080,windows,1,1,1,1,1
135,lenovo,other,1,-1,unknown,unknown,unknown,unknown,-1,unknown,Unknown,-1,unknown,-1,-1,-1,-1,14,-1,-1,unknown,0,0,0,0,0
80.99,lenovo,thinkpad,2,-1,intel,core_i5,intel_2,unknown,2.5,unknown,Unknown,4,hdd,0,256,256,0,12.5,1366,768,windows,1,0,1,1,0
103.77,microsoft,surface_book,2,-1,nvidia,tegra,unknown,unknown,2.6,unknown,Unknown,1,ssd,512,0,512,0,13.5,3000,2000,unknown,1,1,1,1,1
199.99,dell,inspiron,3,-1,intel,core_i5,intel_7,HQ,2.5,nvidia,NVIDIA GeForce GTX 1050 Ti,8,ssd,256,0,256,0,15.6,1920,1080,windows,0,0,1,1,1
288,dell,latitude,3,-1,intel,core_i7,unknown,unknown,2.8,intel,Intel HD Graphics 620,-1,ssd,512,0,512,0,12.5,-1,-1,windows,1,0,0,0,1
105.01,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.6,unknown,Unknown,8,ssd,256,0,256,0,14,1920,1080,windows,0,0,0,1,1
39.95,dell,chromebook,3,2017,intel,celeron,unknown,unknown,1.6,unknown,Unknown,4,emmc,0,0,16,0,13.3,1366,768,chrome_os,0,0,1,1,1
